Artist,Title,Label,song_path
The Weeknd,Blinding Lights,1,popular/Blinding Lights.mp3
Olivia Rodrigo,Good 4 U,1,popular/Good 4 U.mp3
Olivia Rodrigo,Drivers License,1,popular/Drivers License.mp3
Lil Nas X,Montero (Call Me By Your Name),1,popular/Montero (Call Me By Your Name).mp3
BTS,Butter,1,popular/Butter.mp3
Olivia Rodrigo,Deja Vu,1,popular/Deja Vu.mp3
Ariana Grande,Positions,1,popular/Positions.mp3
Ed Sheeran,Bad Habits,1,popular/Bad Habits.mp3
Luke Combs,Forever After All,1,popular/Forever After All.mp3
Pop Smoke,What You Know Bout Love,1,popular/What You Know Bout Love.mp3
Billie Eilish,Therefore I Am,1,popular/Therefore I Am.mp3
Cardi B,Up,1,popular/Up.mp3
Lil Baby,On Me,1,popular/On Me.mp3
Olivia Rodrigo,Traitor,1,popular/Traitor.mp3
BTS,Dynamite,1,popular/Dynamite.mp3
Doja Cat,Need To Know,1,popular/Need To Know.mp3
Taylor Swift,Willow,1,popular/Willow.mp3
Luke Combs,Better Together,1,popular/Better Together.mp3
Doja Cat,Streets,1,popular/Streets.mp3
Drake,What's Next,1,popular/What's Next.mp3
Roddy Ricch,Late At Night,1,popular/Late At Night.mp3
Justin Bieber,Anyone,1,popular/Anyone.mp3
Ariana Grande,pov,1,popular/pov.mp3
The Weeknd,Take My Breath,1,popular/Take My Breath.mp3
Billie Eilish,Happier Than Ever,1,popular/Happier Than Ever.mp3
Post Malone,Circles,1,popular/Circles.mp3
Roddy Ricch,The Box,1,popular/The Box.mp3
Harry Styles,Adore You,1,popular/Adore You.mp3
Maroon 5,Memories,1,popular/Memories.mp3
Doja Cat,Say So,1,popular/Say So.mp3
Billie Eilish,Everything I Wanted,1,popular/Everything I Wanted.mp3
Harry Styles,Watermelon Sugar,1,popular/Watermelon Sugar.mp3
The Weeknd,Heartless,1,popular/Heartless.mp3
DaBaby,BOP,1,popular/BOP.mp3
Drake,Toosie Slide,1,popular/Toosie Slide.mp3
Morgan Wallen,Chasin' You,1,popular/Chasin' You.mp3
Lil Baby,Woah,1,popular/Woah.mp3
Travis Scott,HIGHEST IN THE ROOM,1,popular/HIGHEST IN THE ROOM.mp3
Billie Eilish,Bad Guy,1,popular/Bad Guy.mp3
Justin Bieber,Yummy,1,popular/Yummy.mp3
Lil Nas X,Panini,1,popular/Panini.mp3
Lil Baby,Emotionally Scarred,1,popular/Emotionally Scarred.mp3
Lil Baby,The Bigger Picture,1,popular/The Bigger Picture.mp3
Jonas Brothers,Only Human,1,popular/Only Human.mp3
Lil Baby,Sum 2 Prove,1,popular/Sum 2 Prove.mp3
Halsey,You Should Be Sad,1,popular/You Should Be Sad.mp3
Pop Smoke,Dior,1,popular/Dior.mp3
Luke Combs,Even Though I'm Leaving,1,popular/Even Though I'm Leaving.mp3
Juice WRLD,Wishing Well,1,popular/Wishing Well.mp3
Morgan Wallen,More Than My Hometown,1,popular/More Than My Hometown.mp3
Luke Combs,Lovin' On You,1,popular/Lovin' On You.mp3
Halsey,Without Me,1,popular/Without Me.mp3
Post Malone,Wow.,1,popular/Wow..mp3
Ariana Grande,7 Rings,1,popular/7 Rings.mp3
Khalid,Talk,1,popular/Talk.mp3
Travis Scott,Sicko Mode,1,popular/Sicko Mode.mp3
Jonas Brothers,Sucker,1,popular/Sucker.mp3
Ariana Grande,"Thank U, Next",1,"popular/Thank U, Next.mp3"
Khalid,Better,1,popular/Better.mp3
DaBaby,Suge,1,popular/Suge.mp3
Shawn Mendes,If I Can't Have You,1,popular/If I Can't Have You.mp3
Post Malone,Better Now,1,popular/Better Now.mp3
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",1,"popular/Break Up With Your Girlfriend, I'm Bored.mp3"
Cardi B,Money,1,popular/Money.mp3
Taylor Swift,You Need To Calm Down,1,popular/You Need To Calm Down.mp3
Luke Combs,Beautiful Crazy,1,popular/Beautiful Crazy.mp3
Juice WRLD,Lucid Dreams,1,popular/Lucid Dreams.mp3
Morgan Wallen,Whiskey Glasses,1,popular/Whiskey Glasses.mp3
Luke Combs,Beer Never Broke My Heart,1,popular/Beer Never Broke My Heart.mp3
Billie Eilish,When The Party's Over,1,popular/When The Party's Over.mp3
Ariana Grande,Breathin,1,popular/Breathin.mp3
Billie Eilish,Bury A Friend,1,popular/Bury A Friend.mp3
Lil Baby,Close Friends,1,popular/Close Friends.mp3
Sam Smith,How Do You Sleep?,1,popular/How Do You Sleep?.mp3
P!nk,Walk Me Home,1,popular/Walk Me Home.mp3
Juice WRLD,Robbery,1,popular/Robbery.mp3
Drake,God's Plan,1,popular/God's Plan.mp3
Ed Sheeran,Perfect,1,popular/Perfect.mp3
Drake,In My Feelings,1,popular/In My Feelings.mp3
Drake,Nice For What,1,popular/Nice For What.mp3
XXXTENTACION,Sad!,1,popular/Sad!.mp3
Camila Cabello,Never Be The Same,1,popular/Never Be The Same.mp3
Ariana Grande,No Tears Left To Cry,1,popular/No Tears Left To Cry.mp3
Imagine Dragons,Thunder,1,popular/Thunder.mp3
Taylor Swift,Delicate,1,popular/Delicate.mp3
Halsey,Bad At Love,1,popular/Bad At Love.mp3
Imagine Dragons,Whatever It Takes,1,popular/Whatever It Takes.mp3
Post Malone,I Fall Apart,1,popular/I Fall Apart.mp3
Shawn Mendes,In My Blood,1,popular/In My Blood.mp3
Sam Smith,Too Good At Goodbyes,1,popular/Too Good At Goodbyes.mp3
Drake,Nonstop,1,popular/Nonstop.mp3
Cardi B,Bodak Yellow (Money Moves),1,popular/Bodak Yellow (Money Moves).mp3
Maroon 5,Wait,1,popular/Wait.mp3
Cardi B,Be Careful,1,popular/Be Careful.mp3
Ariana Grande,God Is A Woman,1,popular/God Is A Woman.mp3
Khalid,Young Dumb & Broke,1,popular/Young Dumb & Broke.mp3
Imagine Dragons,Natural,1,popular/Natural.mp3
Ed Sheeran,Shape Of You,1,popular/Shape Of You.mp3
The Weeknd,Call Out My Name,1,popular/Call Out My Name.mp3
Drake,I'm Upset,1,popular/I'm Upset.mp3
XXXTENTACION,Moonlight,1,popular/Moonlight.mp3
XXXTENTACION,Changes,1,popular/Changes.mp3
Luke Combs,One Number Away,1,popular/One Number Away.mp3
Imagine Dragons,Believer,1,popular/Believer.mp3
Bruno Mars,That's What I Like,1,popular/That's What I Like.mp3
Kendrick Lamar,Humble.,1,popular/Humble..mp3
Future,Mask Off,1,popular/Mask Off.mp3
Bruno Mars,24K Magic,1,popular/24K Magic.mp3
Khalid,Location,1,popular/Location.mp3
Shawn Mendes,There's Nothing Holdin' Me Back,1,popular/There's Nothing Holdin' Me Back.mp3
Rihanna,Love On The Brain,1,popular/Love On The Brain.mp3
Drake,Fake Love,1,popular/Fake Love.mp3
Taylor Swift,Look What You Made Me Do,1,popular/Look What You Made Me Do.mp3
Ed Sheeran,Castle On The Hill,1,popular/Castle On The Hill.mp3
The Chainsmokers,Paris,1,popular/Paris.mp3
Justin Timberlake,Can't Stop The Feeling!,1,popular/Can't Stop The Feeling!.mp3
Shawn Mendes,Mercy,1,popular/Mercy.mp3
twenty one pilots,Heathens,1,popular/Heathens.mp3
Halsey,Now Or Never,1,popular/Now Or Never.mp3
Kendrick Lamar,DNA.,1,popular/DNA..mp3
Drake,Passionfruit,1,popular/Passionfruit.mp3
Travis Scott,Goosebumps,1,popular/Goosebumps.mp3
Luke Combs,Hurricane,1,popular/Hurricane.mp3
P!nk,What About Us,1,popular/What About Us.mp3
Harry Styles,Sign Of The Times,1,popular/Sign Of The Times.mp3
Adele,Water Under The Bridge,1,popular/Water Under The Bridge.mp3
Miley Cyrus,Malibu,1,popular/Malibu.mp3
Shawn Mendes,Treat You Better,1,popular/Treat You Better.mp3
XXXTENTACION,Look At Me!,1,popular/Look At Me!.mp3
Justin Bieber,Love Yourself,1,popular/Love Yourself.mp3
Justin Bieber,Sorry,1,popular/Sorry.mp3
twenty one pilots,Stressed Out,1,popular/Stressed Out.mp3
Adele,Hello,1,popular/Hello.mp3
Rihanna,Needed Me,1,popular/Needed Me.mp3
twenty one pilots,Ride,1,popular/Ride.mp3
Shawn Mendes,Stitches,1,popular/Stitches.mp3
Drake,Hotline Bling,1,popular/Hotline Bling.mp3
Adele,Send My Love (To Your New Lover),1,popular/Send My Love (To Your New Lover).mp3
Justin Bieber,What Do You Mean?,1,popular/What Do You Mean?.mp3
The Weeknd,The Hills,1,popular/The Hills.mp3
P!nk,Just Like Fire,1,popular/Just Like Fire.mp3
Ariana Grande,Dangerous Woman,1,popular/Dangerous Woman.mp3
Drake,Controlla,1,popular/Controlla.mp3
Meghan Trainor,No,1,popular/No.mp3
Ariana Grande,Into You,1,popular/Into You.mp3
The Weeknd,In The Night,1,popular/In The Night.mp3
Meghan Trainor,Me Too,1,popular/Me Too.mp3
Post Malone,White Iverson,1,popular/White Iverson.mp3
The Weeknd,Can't Feel My Face,1,popular/Can't Feel My Face.mp3
Coldplay,Hymn For The Weekend,1,popular/Hymn For The Weekend.mp3
Travis Scott,Antidote,1,popular/Antidote.mp3
Taylor Swift,Wildest Dreams,1,popular/Wildest Dreams.mp3
Adele,When We Were Young,1,popular/When We Were Young.mp3
Chris Brown,Back To Sleep,1,popular/Back To Sleep.mp3
Coldplay,Adventure Of A Lifetime,1,popular/Adventure Of A Lifetime.mp3
Future,Wicked,1,popular/Wicked.mp3
Ed Sheeran,Thinking Out Loud,1,popular/Thinking Out Loud.mp3
Fetty Wap,Trap Queen,1,popular/Trap Queen.mp3
Maroon 5,Sugar,1,popular/Sugar.mp3
Taylor Swift,Blank Space,1,popular/Blank Space.mp3
The Weeknd,Earned It (Fifty Shades Of Grey),1,popular/Earned It (Fifty Shades Of Grey).mp3
Taylor Swift,Shake It Off,1,popular/Shake It Off.mp3
Meghan Trainor,Lips Are Movin,1,popular/Lips Are Movin.mp3
Sam Smith,I'm Not The Only One,1,popular/I'm Not The Only One.mp3
Meghan Trainor,All About That Bass,1,popular/All About That Bass.mp3
Taylor Swift,Style,1,popular/Style.mp3
Ed Sheeran,Photograph,1,popular/Photograph.mp3
Maroon 5,Animals,1,popular/Animals.mp3
Rihanna,B**** Better Have My Money,1,popular/B**** Better Have My Money.mp3
Sam Smith,Stay With Me,1,popular/Stay With Me.mp3
Beyonce,7/11,1,n/a
One Direction,Drag Me Down,1,popular/Drag Me Down.mp3
Ariana Grande,One Last Time,1,popular/One Last Time.mp3
Meghan Trainor,Dear Future Husband,1,popular/Dear Future Husband.mp3
Sam Smith,Lay Me Down,1,popular/Lay Me Down.mp3
Ed Sheeran,Don't,1,popular/Don't.mp3
One Direction,Night Changes,1,popular/Night Changes.mp3
Drake,Back To Back,1,popular/Back To Back.mp3
Pharrell Williams,Happy,1,popular/Happy.mp3
Imagine Dragons,Demons,1,popular/Demons.mp3
One Direction,Story Of My Life,1,popular/Story Of My Life.mp3
Maroon 5,Maps,1,popular/Maps.mp3
Nicki Minaj,Anaconda,1,popular/Anaconda.mp3
Miley Cyrus,Wrecking Ball,1,popular/Wrecking Ball.mp3
Justin Timberlake,Not A Bad Thing,1,popular/Not A Bad Thing.mp3
Katy Perry,Roar,1,popular/Roar.mp3
Coldplay,A Sky Full Of Stars,1,popular/A Sky Full Of Stars.mp3
Ed Sheeran,Sing,1,popular/Sing.mp3
Imagine Dragons,Radioactive,1,popular/Radioactive.mp3
Katy Perry,Birthday,1,popular/Birthday.mp3
Beyonce,Partition,1,popular/Partition.mp3
Drake,0 To 100 / The Catch Up,1,n/a
Justin Timberlake,Mirrors,1,popular/Mirrors.mp3
Bruno Mars,When I Was Your Man,1,popular/When I Was Your Man.mp3
Bruno Mars,Locked Out Of Heaven,1,popular/Locked Out Of Heaven.mp3
Taylor Swift,I Knew You Were Trouble.,1,popular/I Knew You Were Trouble..mp3
Miley Cyrus,We Can't Stop,1,popular/We Can't Stop.mp3
Rihanna,Diamonds,1,popular/Diamonds.mp3
Bruno Mars,Treasure,1,popular/Treasure.mp3
Drake,Started From The Bottom,1,popular/Started From The Bottom.mp3
Maroon 5,Daylight,1,popular/Daylight.mp3
Lady Gaga,Applause,1,popular/Applause.mp3
Maroon 5,One More Night,1,popular/One More Night.mp3
Imagine Dragons,It's Time,1,popular/It's Time.mp3
Maroon 5,Love Somebody,1,popular/Love Somebody.mp3
P!nk,Try,1,popular/Try.mp3
Ke$ha,Die Young,1,popular/Die Young.mp3
Eminem,Berzerk,1,popular/Berzerk.mp3
Rihanna,Pour It Up,1,popular/Pour It Up.mp3
Taylor Swift,22,1,popular/22.mp3
One Direction,Best Song Ever,1,popular/Best Song Ever.mp3
Ed Sheeran,The A Team,1,popular/The A Team.mp3
Kendrick Lamar,Swimming Pools (Drank),1,popular/Swimming Pools (Drank).mp3
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),1,popular/Let Me Love You (Until You Learn To Love Yourself).mp3
Nicki Minaj,Starships,1,popular/Starships.mp3
One Direction,What Makes You Beautiful,1,popular/What Makes You Beautiful.mp3
Adele,Set Fire To The Rain,1,popular/Set Fire To The Rain.mp3
LMFAO,Sexy And I Know It,1,popular/Sexy And I Know It.mp3
Katy Perry,Wide Awake,1,popular/Wide Awake.mp3
Rihanna,Where Have You Been,1,popular/Where Have You Been.mp3
Bruno Mars,It Will Rain,1,popular/It Will Rain.mp3
Justin Bieber,Boyfriend,1,popular/Boyfriend.mp3
Katy Perry,Part Of Me,1,popular/Part Of Me.mp3
Taylor Swift,We Are Never Ever Getting Back Together,1,popular/We Are Never Ever Getting Back Together.mp3
P!nk,Blow Me (One Last Kiss),1,popular/Blow Me (One Last Kiss).mp3
Katy Perry,The One That Got Away,1,popular/The One That Got Away.mp3
Adele,Someone Like You,1,popular/Someone Like You.mp3
Usher,Scream,1,popular/Scream.mp3
Chris Brown,Don't Wake Me Up,1,popular/Don't Wake Me Up.mp3
Adele,Rumour Has It,1,popular/Rumour Has It.mp3
Carrie Underwood,Good Girl,1,popular/Good Girl.mp3
Coldplay,Paradise,1,popular/Paradise.mp3
Carrie Underwood,Blown Away,1,popular/Blown Away.mp3
Adele,Rolling In The Deep,1,popular/Rolling In The Deep.mp3
Usher,Climax,1,popular/Climax.mp3
Nicki Minaj,Pound The Alarm,1,popular/Pound The Alarm.mp3
Chris Brown,Turn Up The Music,1,popular/Turn Up The Music.mp3
Rihanna,You Da One,1,popular/You Da One.mp3
Katy Perry,Firework,1,popular/Firework.mp3
Bruno Mars,Grenade,1,popular/Grenade.mp3
Nicki Minaj,Super Bass,1,popular/Super Bass.mp3
The Black Eyed Peas,Just Can't Get Enough,1,popular/Just Can't Get Enough.mp3
Rihanna,S&M,1,popular/S&M.mp3
Katy Perry,Last Friday Night (T.G.I.F.),1,popular/Last Friday Night (T.G.I.F.).mp3
Bruno Mars,Just The Way You Are,1,popular/Just The Way You Are.mp3
P!nk,Raise Your Glass,1,popular/Raise Your Glass.mp3
Lady Gaga,Born This Way,1,popular/Born This Way.mp3
P!nk,F**kin' Perfect,1,popular/F**kin' Perfect.mp3
Lil Wayne,How To Love,1,popular/How To Love.mp3
Bruno Mars,The Lazy Song,1,popular/The Lazy Song.mp3
Britney Spears,Till The World Ends,1,popular/Till The World Ends.mp3
Lady Gaga,The Edge Of Glory,1,popular/The Edge Of Glory.mp3
Ke$ha,We R Who We R,1,popular/We R Who We R.mp3
Ke$ha,Blow,1,popular/Blow.mp3
The Black Eyed Peas,The Time (Dirty Bit),1,popular/The Time (Dirty Bit).mp3
Rihanna,Only Girl (In The World),1,popular/Only Girl (In The World).mp3
Britney Spears,I Wanna Go,1,popular/I Wanna Go.mp3
Chris Brown,Yeah 3X,1,popular/Yeah 3X.mp3
Kanye West,All Of The Lights,1,popular/All Of The Lights.mp3
Britney Spears,Hold It Against Me,1,popular/Hold It Against Me.mp3
Usher,More,1,popular/More.mp3
Avril Lavigne,What The Hell,1,popular/What The Hell.mp3
Lady Gaga,You And I,1,popular/You And I.mp3
Taylor Swift,Back To December,1,popular/Back To December.mp3
Katy Perry,Teenage Dream,1,popular/Teenage Dream.mp3
Rihanna,Cheers (Drink To That),1,popular/Cheers (Drink To That).mp3
Drake,Headlines,1,popular/Headlines.mp3
Beyonce,Best Thing I Never Had,1,popular/Best Thing I Never Had.mp3
Chris Brown,She Ain't You,1,popular/She Ain't You.mp3
Ke$ha,TiK ToK,1,popular/TiK ToK.mp3
Lady Gaga,Bad Romance,1,popular/Bad Romance.mp3
Rihanna,Rude Boy,1,popular/Rude Boy.mp3
The Black Eyed Peas,Imma Be,1,popular/Imma Be.mp3
Eminem,Not Afraid,1,popular/Not Afraid.mp3
Ke$ha,Your Love Is My Drug,1,popular/Your Love Is My Drug.mp3
The Black Eyed Peas,I Gotta Feeling,1,popular/I Gotta Feeling.mp3
Drake,Find Your Love,1,popular/Find Your Love.mp3
Lady Gaga,Alejandro,1,popular/Alejandro.mp3
Taylor Swift,Mine,1,popular/Mine.mp3
Taylor Swift,You Belong With Me,1,popular/You Belong With Me.mp3
The Black Eyed Peas,Meet Me Halfway,1,popular/Meet Me Halfway.mp3
Ke$ha,Take It Off,1,popular/Take It Off.mp3
Drake,Over,1,popular/Over.mp3
Maroon 5,Misery,1,popular/Misery.mp3
Lady Gaga,Paparazzi,1,popular/Paparazzi.mp3
Nicki Minaj,Your Love,1,popular/Your Love.mp3
Miley Cyrus,Party In The U.S.A.,1,popular/Party In The U.S.A..mp3
Britney Spears,3,1,popular/3.mp3
The Black Eyed Peas,Rock That Body,1,popular/Rock That Body.mp3
Alicia Keys,Un-Thinkable (I'm Ready),1,popular/Un-Thinkable (I'm Ready).mp3
Usher,There Goes My Baby,1,popular/There Goes My Baby.mp3
Taylor Swift,Today Was A Fairytale,1,popular/Today Was A Fairytale.mp3
Beyonce,Sweet Dreams,1,popular/Sweet Dreams.mp3
Carrie Underwood,Undo It,1,popular/Undo It.mp3
Daughtry,Life After You,1,popular/Life After You.mp3
Alicia Keys,Try Sleeping With A Broken Heart,1,popular/Try Sleeping With A Broken Heart.mp3
The Black Eyed Peas,Boom Boom Pow,1,popular/Boom Boom Pow.mp3
Lady Gaga,Poker Face,1,popular/Poker Face.mp3
Taylor Swift,Love Story,1,popular/Love Story.mp3
Beyonce,Single Ladies (Put A Ring On It),1,popular/Single Ladies (Put A Ring On It).mp3
The Fray,You Found Me,1,popular/You Found Me.mp3
Miley Cyrus,The Climb,1,popular/The Climb.mp3
Drake,Best I Ever Had,1,popular/Best I Ever Had.mp3
Beyonce,Halo,1,popular/Halo.mp3
Katy Perry,Hot N Cold,1,popular/Hot N Cold.mp3
Britney Spears,Circus,1,popular/Circus.mp3
Lady Gaga,LoveGame,1,popular/LoveGame.mp3
Katy Perry,Waking Up In Vegas,1,popular/Waking Up In Vegas.mp3
P!nk,Sober,1,popular/Sober.mp3
Britney Spears,Womanizer,1,popular/Womanizer.mp3
T.I.,Whatever You Like,1,popular/Whatever You Like.mp3
Ne-Yo,Mad,1,popular/Mad.mp3
Kanye West,Love Lockdown,1,popular/Love Lockdown.mp3
P!nk,So What,1,popular/So What.mp3
Beyonce,If I Were A Boy,1,popular/If I Were A Boy.mp3
The Pussycat Dolls,I Hate This Part,1,popular/I Hate This Part.mp3
Nickelback,Gotta Be Somebody,1,popular/Gotta Be Somebody.mp3
P!nk,Please Don't Leave Me,1,popular/Please Don't Leave Me.mp3
Coldplay,Viva La Vida,1,popular/Viva La Vida.mp3
Akon,Right Now (Na Na Na),1,popular/Right Now (Na Na Na).mp3
Jordin Sparks,Battlefield,1,popular/Battlefield.mp3
Ne-Yo,Miss Independent,1,popular/Miss Independent.mp3
Daughtry,No Surprise,1,popular/No Surprise.mp3
Nickelback,If Today Was Your Last Day,1,popular/If Today Was Your Last Day.mp3
Britney Spears,If U Seek Amy,1,popular/If U Seek Amy.mp3
Taylor Swift,White Horse,1,popular/White Horse.mp3
Rihanna,Disturbia,1,popular/Disturbia.mp3
Beyonce,Diva,1,popular/Diva.mp3
Justin Bieber,One Time,1,popular/One Time.mp3
The Fray,Never Say Never,1,popular/Never Say Never.mp3
Leona Lewis,Bleeding Love,1,popular/Bleeding Love.mp3
Alicia Keys,No One,1,popular/No One.mp3
Chris Brown,With You,1,popular/With You.mp3
Chris Brown,Forever,1,popular/Forever.mp3
Rihanna,Take A Bow,1,popular/Take A Bow.mp3
Katy Perry,I Kissed A Girl,1,popular/I Kissed A Girl.mp3
Rihanna,Don't Stop The Music,1,popular/Don't Stop The Music.mp3
Ne-Yo,Closer,1,popular/Closer.mp3
Fergie,Clumsy,1,popular/Clumsy.mp3
Jordin Sparks,Tattoo,1,popular/Tattoo.mp3
Miley Cyrus,See You Again,1,popular/See You Again.mp3
Taylor Swift,Our Song,1,popular/Our Song.mp3
Lil Wayne,A Milli,1,popular/A Milli.mp3
Alicia Keys,Like You'll Never See Me Again,1,popular/Like You'll Never See Me Again.mp3
Taylor Swift,Teardrops On My Guitar,1,popular/Teardrops On My Guitar.mp3
The Pussycat Dolls,When I Grow Up,1,popular/When I Grow Up.mp3
Leona Lewis,Better In Time,1,popular/Better In Time.mp3
Jordin Sparks,One Step At A Time,1,popular/One Step At A Time.mp3
Jonas Brothers,Burnin' Up,1,popular/Burnin' Up.mp3
Fergie,Big Girls Don't Cry,1,popular/Big Girls Don't Cry.mp3
Mary J. Blige,Just Fine,1,popular/Just Fine.mp3
Britney Spears,Piece Of Me,1,popular/Piece Of Me.mp3
Miley Cyrus,7 Things,1,popular/7 Things.mp3
Daughtry,Feels Like Tonight,1,popular/Feels Like Tonight.mp3
Beyonce,Irreplaceable,1,popular/Irreplaceable.mp3
Carrie Underwood,Before He Cheats,1,popular/Before He Cheats.mp3
Akon,Don't Matter,1,popular/Don't Matter.mp3
Avril Lavigne,Girlfriend,1,popular/Girlfriend.mp3
Maroon 5,Makes Me Wonder,1,popular/Makes Me Wonder.mp3
Daughtry,It's Not Over,1,popular/It's Not Over.mp3
Fergie,Fergalicious,1,popular/Fergalicious.mp3
Justin Timberlake,What Goes Around...Comes Around,1,popular/What Goes Around...Comes Around.mp3
The Fray,How To Save A Life,1,popular/How To Save A Life.mp3
Daughtry,Home,1,popular/Home.mp3
Kanye West,Stronger,1,popular/Stronger.mp3
P!nk,U + Ur Hand,1,popular/U + Ur Hand.mp3
Nickelback,Rockstar,1,popular/Rockstar.mp3
Justin Timberlake,Summer Love,1,popular/Summer Love.mp3
Nickelback,If Everyone Cared,1,popular/If Everyone Cared.mp3
Ne-Yo,Because Of You,1,popular/Because Of You.mp3
Justin Timberlake,SexyBack,1,popular/SexyBack.mp3
Avril Lavigne,Keep Holding On,1,popular/Keep Holding On.mp3
P!nk,Who Knew,1,popular/Who Knew.mp3
T.I.,Big Things Poppin' (Do It),1,popular/Big Things Poppin' (Do It).mp3
Gwen Stefani,Wind It Up,1,popular/Wind It Up.mp3
Rihanna,Shut Up And Drive,1,popular/Shut Up And Drive.mp3
Nickelback,Far Away,1,popular/Far Away.mp3
Justin Timberlake,LoveStoned,1,popular/LoveStoned.mp3
Sean Paul,Temperature,1,popular/Temperature.mp3
Mary J. Blige,Be Without You,1,popular/Be Without You.mp3
The Fray,Over My Head (Cable Car),1,popular/Over My Head (Cable Car).mp3
Chris Brown,Run It!,1,popular/Run It!.mp3
Ne-Yo,So Sick,1,popular/So Sick.mp3
Rihanna,SOS,1,popular/SOS.mp3
Fergie,London Bridge,1,popular/London Bridge.mp3
Rascal Flatts,What Hurts The Most,1,popular/What Hurts The Most.mp3
Rihanna,Unfaithful,1,popular/Unfaithful.mp3
The Pussycat Dolls,Stickwitu,1,popular/Stickwitu.mp3
The Black Eyed Peas,My Humps,1,popular/My Humps.mp3
Chris Brown,Yo (Excuse Me Miss),1,popular/Yo (Excuse Me Miss).mp3
T.I.,What You Know,1,popular/What You Know.mp3
Nickelback,Savin' Me,1,popular/Savin' Me.mp3
Ne-Yo,Sexy Love,1,popular/Sexy Love.mp3
Rascal Flatts,Life Is A Highway,1,popular/Life Is A Highway.mp3
Carrie Underwood,"Jesus, Take The Wheel",1,"popular/Jesus, Take The Wheel.mp3"
Sean Paul,We Be Burnin',1,popular/We Be Burnin'.mp3
Chris Brown,Say Goodbye,1,popular/Say Goodbye.mp3
The Black Eyed Peas,Pump It,1,popular/Pump It.mp3
Eminem,When I'm Gone,1,popular/When I'm Gone.mp3
Ne-Yo,When You're Mad,1,popular/When You're Mad.mp3
T.I.,Why You Wanna,1,popular/Why You Wanna.mp3
P!nk,Stupid Girls,1,popular/Stupid Girls.mp3
T-Pain,I'm Sprung,1,popular/I'm Sprung.mp3
Adele,Easy On Me,0,unpopular/Easy On Me.mp3
Taylor Swift,All Too Well (Taylor's Version),0,unpopular/All Too Well (Taylor's Version).mp3
Adele,Oh My God,0,unpopular/Oh My God.mp3
Ed Sheeran,Shivers,0,unpopular/Shivers.mp3
Adele,I Drink Wine,0,unpopular/I Drink Wine.mp3
Adele,My Little Love,0,unpopular/My Little Love.mp3
Adele,Can I Get It,0,unpopular/Can I Get It.mp3
Adele,To Be Loved,0,unpopular/To Be Loved.mp3
Justin Bieber,Ghost,0,unpopular/Ghost.mp3
Adele,Strangers By Nature,0,unpopular/Strangers By Nature.mp3
